State Name,PC NAME,CANDIDATES NAME,SEX,AGE,CATEGORY,PARTY NAME,PARTY SYMBOL,GENERAL,POSTAL,TOTAL
Andhra Pradesh,Aruku,KISHORE CHANDRA DEO,MALE,72,ST,TDP,Bicycle,336163,1938,338101
Andhra Pradesh,Aruku,Dr. KOSURI KASI VISWANADHA VEERA VENKATA SATYANARAYANA REDDY,MALE,54,ST,BJP,Lotus,17578,289,17867
Andhra Pradesh,Aruku,GODDETI. MADHAVI,FEMALE,26,ST,YSRCP,Ceiling Fan,557561,4629,562190
Andhra Pradesh,Aruku,SHRUTI DEVI VYRICHERLA,FEMALE,46,ST,INC,Hand,17656,74,17730
Andhra Pradesh,Aruku,GANGULAIAH VAMPURU.,MALE,49,ST,JnP,Glass Tumbler,42245,549,42794
Andhra Pradesh,Aruku,SWAMULA. SUBRAHMANYAM,MALE,50,ST,JAJGP,Mike,4705,5,4710
Andhra Pradesh,Aruku,ANUMULA VAMSIKRISHNA,MALE,41,ST,IND,Helicopter,10211,29,10240
Andhra Pradesh,Aruku,KANGALA BALUDORA,MALE,61,ST,IND,Cup & Saucer,13810,16,13826
Andhra Pradesh,Aruku,NARAVA SATYAVATHI,FEMALE,37,ST,IND,Bangles,11231,5,11236
Andhra Pradesh,Aruku,BIDDIKA RAMAYYA.,MALE,57,ST,IND,Battery Torch,7863,4,7867
Andhra Pradesh,Aruku,NOTA,,,,NOTA,,47955,22,47977
Andhra Pradesh,Srikakulam,KINJARAPU RAM MOHAN NAIDU,MALE,32,GENERAL,TDP,Bicycle,529213,5331,534544
Andhra Pradesh,Srikakulam,DOLA JAGAN,MALE,53,GENERAL,INC,Hand,13456,289,13745
Andhra Pradesh,Srikakulam,DUVVADA SRINIVAS,MALE,52,GENERAL,YSRCP,Ceiling Fan,520931,6960,527891
Andhra Pradesh,Srikakulam,PERLA SAMBA MURTHY,MALE,58,GENERAL,BJP,Lotus,7357,1033,8390
Andhra Pradesh,Srikakulam,MATTA SATISH CHAKRAVARTHY,MALE,37,GENERAL,PPOI,FLUTE,1441,7,1448
Andhra Pradesh,Srikakulam,METTA RAMARAO,MALE,53,GENERAL,JnP,Glass Tumbler,31319,637,31956
Andhra Pradesh,Srikakulam,NAMBALLA KRISHNA MOHAN,MALE,44,GENERAL,IND,Electric Pole,4829,7,4836
Andhra Pradesh,Srikakulam,NAIDUGARI RAJASEKHAR,MALE,35,GENERAL,IND,Helicopter,5151,5,5156
Andhra Pradesh,Srikakulam,BETHA VIVEKANANDA MAHARAJ,MALE,33,GENERAL,IND,Football,3814,4,3818
Andhra Pradesh,Srikakulam,NOTA,,,,NOTA,,25500,45,25545
Andhra Pradesh,Vizianagaram,Ashok Gajapathi Raju Pusapati,MALE,67,GENERAL,TDP,Bicycle,527307,3075,530382
Andhra Pradesh,Vizianagaram,Adiraju Yedla,MALE,52,GENERAL,INC,Hand,15607,118,15725
Andhra Pradesh,Vizianagaram,Bellana Chandra Sekhar,MALE,57,GENERAL,YSRCP,Ceiling Fan,573466,4952,578418
Andhra Pradesh,Vizianagaram,Sanyasi Raju Pakalapati,MALE,60,GENERAL,BJP,Lotus,6902,364,7266
Andhra Pradesh,Vizianagaram,P.V.A. Ananda Sagar,MALE,55,GENERAL,SAPRP,Electric Pole,4981,2,4983
Andhra Pradesh,Vizianagaram,Chiranjeevi Lingala,MALE,28,GENERAL,ACP,Tooth Brush,1261,2,1263
Andhra Pradesh,Vizianagaram,Mukka Srinivas Rao,MALE,39,GENERAL,JnP,Glass Tumbler,33779,413,34192
Andhra Pradesh,Vizianagaram,Lagudu. Govinda Rao,MALE,39,GENERAL,JAJGP,Mike,787,4,791
Andhra Pradesh,Vizianagaram,Surya Bhavani. K,FEMALE,38,GENERAL,PPOI,FLUTE,822,8,830
Andhra Pradesh,Vizianagaram,Yella Rao Siyyadula,MALE,37,SC,IND,Gas Cylinder,1010,0,1010
Andhra Pradesh,Vizianagaram,Dhanalakoti Ramana,MALE,29,GENERAL,IND,Matchbox,1172,4,1176
Andhra Pradesh,Vizianagaram,Pentapati Rajesh,MALE,39,GENERAL,IND,Battery Torch,1461,1,1462
Andhra Pradesh,Vizianagaram,Ijjurouthu Ramunaidu,MALE,47,GENERAL,IND,Coat,4550,3,4553
Andhra Pradesh,Vizianagaram,Venkata Trindha Rao Veluri,MALE,52,GENERAL,IND,Sitar,6336,2,6338
Andhra Pradesh,Vizianagaram,NOTA,,,,NOTA,,29468,33,29501
